"Candidate","Date","Title","SpeechUrl","FileName"
"Donald J. Trump","June 16, 2015","Remarks Announcing Candidacy for President in New York City","http://www.presidency.ucsb.edu/ws/index.php?pid=110306","Donald-J-Trump-June-16-2015-1.txt"
"Donald J. Trump","March 21, 2016","Remarks at the AIPAC Policy Conference in Washington, DC","http://www.presidency.ucsb.edu/ws/index.php?pid=116597","Donald-J-Trump-March-21-2016-2.txt"
"Donald J. Trump","April 27, 2016","Remarks on Foreign Policy at the National Press Club in Washington, DC","http://www.presidency.ucsb.edu/ws/index.php?pid=117813","Donald-J-Trump-April-27-2016-3.txt"
"Donald J. Trump","June 13, 2016","Remarks at Saint Anselm College in Manchester, New Hampshire","http://www.presidency.ucsb.edu/ws/index.php?pid=117775","Donald-J-Trump-June-13-2016-4.txt"
"Donald J. Trump","June 22, 2016","Remarks at Trump SoHo in New York City","http://www.presidency.ucsb.edu/ws/index.php?pid=117790","Donald-J-Trump-June-22-2016-5.txt"
"Donald J. Trump","July 11, 2016","Remarks in Virginia Beach, Virginia","http://www.presidency.ucsb.edu/ws/index.php?pid=117815","Donald-J-Trump-July-11-2016-6.txt"
"Donald J. Trump","July 16, 2016","Remarks Introducing Governor Mike Pence as the 2016 Republican Vice Presidential Nominee in New York City","http://www.presidency.ucsb.edu/ws/index.php?pid=117791","Donald-J-Trump-July-16-2016-7.txt"
"Donald J. Trump","July 21, 2016","Address Accepting the Presidential Nomination at the Republican National Convention in Cleveland, Ohio","http://www.presidency.ucsb.edu/ws/index.php?pid=117935","Donald-J-Trump-July-21-2016-8.txt"
"Donald J. Trump","July 27, 2016","News Conference in Doral, Florida","http://www.presidency.ucsb.edu/ws/index.php?pid=118047","Donald-J-Trump-July-27-2016-9.txt"
"Donald J. Trump","August 5, 2016","Remarks at the KI Convention Center in Green Bay, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=123199","Donald-J-Trump-August-5-2016-10.txt"
"Donald J. Trump","August 8, 2016","Remarks to the Detroit Economic Club","http://www.presidency.ucsb.edu/ws/index.php?pid=119744","Donald-J-Trump-August-8-2016-11.txt"
"Donald J. Trump","August 9, 2016","Remarks at a Rally at the University of North Carolina in Wilmington","http://www.presidency.ucsb.edu/ws/index.php?pid=122534","Donald-J-Trump-August-9-2016-12.txt"
"Donald J. Trump","August 12, 2016","Remarks at Erie Insurance Arena in Erie, Pennsylvania","http://www.presidency.ucsb.edu/ws/index.php?pid=123515","Donald-J-Trump-August-12-2016-13.txt"
"Donald J. Trump","August 15, 2016","Remarks at Youngstown State University in Youngstown, Ohio","http://www.presidency.ucsb.edu/ws/index.php?pid=119503","Donald-J-Trump-August-15-2016-14.txt"
"Donald J. Trump","August 16, 2016","Remarks at the Washington County Fair Park in West Bend, Wisconsin","http://www.presidency.ucsb.edu/ws/index.php?pid=119165","Donald-J-Trump-August-16-2016-15.txt"
