"Candidate","Date","Title","SpeechUrl","FileName"
"Hillary Clinton","January 20, 2007","Video Transcript: Presidential Exploratory Committee Announcement","http://www.presidency.ucsb.edu/ws/index.php?pid=96348","Hillary-Clinton-January-20-2007-1.txt"
"Hillary Clinton","January 22, 2007","Remarks in a "Let the Conversation Begin Webcast"","http://www.presidency.ucsb.edu/ws/index.php?pid=96349","Hillary-Clinton-January-22-2007-2.txt"
"Hillary Clinton","January 23, 2007","Remarks in a "Let the Conversation Begin Webcast"","http://www.presidency.ucsb.edu/ws/index.php?pid=96350","Hillary-Clinton-January-23-2007-3.txt"
"Hillary Clinton","January 24, 2007","Remarks in a "Let the Conversation Begin Webcast"","http://www.presidency.ucsb.edu/ws/index.php?pid=96351","Hillary-Clinton-January-24-2007-4.txt"
"Hillary Clinton","February 7, 2007","Senate Floor Speech on the War in Iraq","http://www.presidency.ucsb.edu/ws/index.php?pid=77045","Hillary-Clinton-February-7-2007-5.txt"
"Hillary Clinton","February 14, 2007","Senate Floor Remarks: No Military Action On Iran Without Congressional Authority","http://www.presidency.ucsb.edu/ws/index.php?pid=77046","Hillary-Clinton-February-14-2007-6.txt"
"Hillary Clinton","March 4, 2007","Remarks on the 42nd Anniversary of Bloody Sunday in Selma, Alabama","http://www.presidency.ucsb.edu/ws/index.php?pid=77047","Hillary-Clinton-March-4-2007-7.txt"
"Hillary Clinton","March 6, 2007","Remarks in the "Equal Pay HillCast"","http://www.presidency.ucsb.edu/ws/index.php?pid=96355","Hillary-Clinton-March-6-2007-8.txt"
"Hillary Clinton","March 10, 2007","Excerpt from Hillary Clinton's Remarks at the New Hampshire Democratic Party's "100 Club" Dinner","http://www.presidency.ucsb.edu/ws/index.php?pid=96356","Hillary-Clinton-March-10-2007-9.txt"
"Hillary Clinton","March 14, 2007","Remarks at the International Association of Fire Fighters Bipartisan 2008 Presidential Forum in Washington, DC","http://www.presidency.ucsb.edu/ws/index.php?pid=77048","Hillary-Clinton-March-14-2007-10.txt"
"Hillary Clinton","March 15, 2007","Speech on Subprime Lending","http://www.presidency.ucsb.edu/ws/index.php?pid=77069","Hillary-Clinton-March-15-2007-11.txt"
"Hillary Clinton","April 13, 2007","Remarks on Government Reform at St. Anselm College in Manchester, New Hampshire","http://www.presidency.ucsb.edu/ws/index.php?pid=77049","Hillary-Clinton-April-13-2007-12.txt"
"Hillary Clinton","May 19, 2007","Speech at Dillard University in New Orleans","http://www.presidency.ucsb.edu/ws/index.php?pid=77053","Hillary-Clinton-May-19-2007-13.txt"
"Hillary Clinton","May 21, 2007","Remarks in Miami on Expanding Pre-K","http://www.presidency.ucsb.edu/ws/index.php?pid=77068","Hillary-Clinton-May-21-2007-14.txt"
"Hillary Clinton","May 24, 2007","Remarks at the George Washington University on Reducing the Cost of Health Care","http://www.presidency.ucsb.edu/ws/index.php?pid=77050","Hillary-Clinton-May-24-2007-15.txt"
"Hillary Clinton","May 29, 2007","Remarks - Modern Progressive Vision: Shared Prosperity","http://www.presidency.ucsb.edu/ws/index.php?pid=77051","Hillary-Clinton-May-29-2007-16.txt"
"Hillary Clinton","May 31, 2007","Hillary Clinton Speech and Q&A on Innovation","http://www.presidency.ucsb.edu/ws/index.php?pid=77052","Hillary-Clinton-May-31-2007-17.txt"
"Hillary Clinton","June 27, 2007","Remarks at the Center for a New American Security in Washington, DC","http://www.presidency.ucsb.edu/ws/index.php?pid=77062","Hillary-Clinton-June-27-2007-18.txt"
"Hillary Clinton","July 10, 2007","Speech at the Temple for the Performing Arts in Des Moines, Iowa","http://www.presidency.ucsb.edu/ws/index.php?pid=77054","Hillary-Clinton-July-10-2007-19.txt"
"Hillary Clinton","July 24, 2007","Speech in Portsmouth, New Hampshire on the Green Building Fund","http://www.presidency.ucsb.edu/ws/index.php?pid=77064","Hillary-Clinton-July-24-2007-20.txt"
