"Bullet Joe Bush","Benny Bengough"
"Joe Dugan","Benny Bengough"
"Mike Gazella","Benny Bengough"
"Lou Gehrig HOF","Benny Bengough"
"Hinkey Haines","Benny Bengough"
"Harvey Hendrick","Benny Bengough"
"Fred Hofmann","Benny Bengough"
"Waite Hoyt HOF","Benny Bengough"
"Ernie Johnson","Benny Bengough"
"Sad Sam Jones","Benny Bengough"
"Carl Mays","Benny Bengough"
"Mike McNally","Benny Bengough"
"Bob Meusel","Benny Bengough"
"Herb Pennock HOF","Benny Bengough"
"George Pipgras","Benny Bengough"
"Wally Pipp","Benny Bengough"
"Oscar Roettger","Benny Bengough"
"Benny Bengough","Babe Ruth HOF"
"Wally Schang","Benny Bengough"
"Everett Scott","Benny Bengough"
"Bob Shawkey","Benny Bengough"
"Elmer Smith","Benny Bengough"
"Benny Bengough","Aaron Ward"
"Whitey Witt","Benny Bengough"
"Joe Dugan","Bullet Joe Bush"
"Mike Gazella","Bullet Joe Bush"
"Lou Gehrig HOF","Bullet Joe Bush"
"Hinkey Haines","Bullet Joe Bush"
"Harvey Hendrick","Bullet Joe Bush"
"Fred Hofmann","Bullet Joe Bush"
"Waite Hoyt HOF","Bullet Joe Bush"
"Ernie Johnson","Bullet Joe Bush"
"Sad Sam Jones","Bullet Joe Bush"
"Carl Mays","Bullet Joe Bush"
"Mike McNally","Bullet Joe Bush"
"Bullet Joe Bush","Bob Meusel"
"Herb Pennock HOF","Bullet Joe Bush"
"George Pipgras","Bullet Joe Bush"
"Wally Pipp","Bullet Joe Bush"
"Oscar Roettger","Bullet Joe Bush"
"Bullet Joe Bush","Babe Ruth HOF"
"Wally Schang","Bullet Joe Bush"
"Everett Scott","Bullet Joe Bush"
"Bullet Joe Bush","Bob Shawkey"
"Elmer Smith","Bullet Joe Bush"
"Bullet Joe Bush","Aaron Ward"
"Whitey Witt","Bullet Joe Bush"
"Mike Gazella","Joe Dugan"
"Lou Gehrig HOF","Joe Dugan"
"Joe Dugan","Hinkey Haines"
"Joe Dugan","Harvey Hendrick"
"Joe Dugan","Fred Hofmann"
"Waite Hoyt HOF","Joe Dugan"
"Joe Dugan","Ernie Johnson"
"Sad Sam Jones","Joe Dugan"
"Joe Dugan","Carl Mays"
"Mike McNally","Joe Dugan"
"Joe Dugan","Bob Meusel"
"Joe Dugan","Herb Pennock HOF"
"Joe Dugan","George Pipgras"
"Wally Pipp","Joe Dugan"
"Oscar Roettger","Joe Dugan"
"Joe Dugan","Babe Ruth HOF"
"Wally Schang","Joe Dugan"
"Joe Dugan","Everett Scott"
"Joe Dugan","Bob Shawkey"
"Joe Dugan","Elmer Smith"
"Joe Dugan","Aaron Ward"
"Whitey Witt","Joe Dugan"
"Mike Gazella","Lou Gehrig HOF"
"Mike Gazella","Hinkey Haines"
