"Benny Bengough"
"Bullet Joe Bush"
"Joe Dugan"
"Mike Gazella"
"Lou Gehrig HOF"
"Hinkey Haines"
"Harvey Hendrick"
"Fred Hofmann"
"Waite Hoyt HOF"
"Ernie Johnson"
"Sad Sam Jones"
"Carl Mays"
"Mike McNally"
"Bob Meusel"
"Herb Pennock HOF"
"George Pipgras"
"Wally Pipp"
"Oscar Roettger"
"Babe Ruth HOF"
"Wally Schang"
"Everett Scott"
"Bob Shawkey"
"Elmer Smith"
"Aaron Ward"
"Whitey Witt"
"Walter Beall"
"Pat Collins"
"Earle Combs HOF"
"Cedric Durst"
"Joe Giard"
"Johnny Grabowski"
"Mark Koenig"
"Tony Lazzeri HOF"
"Wilcy Moore"
"Ray Morehart"
"Ben Paschal"
"Dutch Ruether"
"Urban Shocker"
"Myles Thomas"
"Julie Wera"
"George Burns"
"Archie Campbell"
"Stan Coveleski HOF"
"Bill Dickey HOF"
"Leo Durocher HOF"
"Fred Heimach"
"Hank Johnson"
"Gene Robertson"
"Rosy Ryan"
"Al Shealy"
"Tom Zachary"
"Johnny Allen"
"Ivy Andrews"
"Jumbo Brown"
"Samuel Byrd"
"Ben Chapman"
"Dusty Cooke"
"Frankie Crosetti"
"Charlie Devens"
"Doc Farrell"
"Joe Glenn"
"Lefty Gomez HOF"
"Myril Hoag"
"Arndt Jorgens"
"Lyn Lary"
"Danny MacFayden"
"Johnny Murphy"
"Eddie Phillips"
"Gordon Rhodes"
"Red Ruffing HOF"
"Jack Saltzgaver"
"Roy Schalk"
"Joe Sewell HOF"
"Ed Wells"
"Johnny Broaca"
"Joe DiMaggio HOF"
"Bump Hadley"
"Don Heffner"
"Roy Johnson"
"Ted Kleinhans"
"Pat Malone"
"Monte Pearson"
"Jake Powell"
"Red Rolfe"
"Bob Seeds"
"George Selkirk"
"Steve Sundra"
"Dixie Walker"
"Kemp Wicker"
"Spud Chandler"
"Babe Dahlgren"
"Tommy Henrich"
"Frank Makosky"
"Joe Vance"
"Joe Beggs"
"Atley Donald"
"Wes Ferrell"
"Joe Gordon HOF"
"Bill Knickerbocker"
"Lee Stine"
"Marv Breuer"
"Joe Gallagher"
"Oral Hildebrand"
"Charlie Keller"
"Buddy Rosar"
"Marius Russo"
"Tiny Bonham"
"Frenchy Bordagaray"
"Norm Branch"
"Johnny Lindell"
"Steve Peek"
"Jerry Priddy"
"Phil Rizzuto HOF"
"Ken Silvestri"
"Charley Stanceu"
"Johnny Sturm"
"George Washburn"
"Hank Borowy"
"Tommy Byrne"
"Nick Etten"
"Oscar Grimes"
"Rollie Hemsley"
"Billy Johnson"
"Bud Metheny"
"Aaron Robinson"
"Ken Sears"
"Tuck Stainback"
"Snuffy Stirnweiss"
"Jim Turner"
"Roy Weatherly"
"Butch Wensloff"
"Bill Zuber"
"Rugger Ardizoia"
"Yogi Berra HOF"
"Bill Bevens"
"Bobby Brown"
"Allie Clark"
"Frank Colman"
"Karl Drews"
"Lonny Frey"
"Randy Gumpert"
"Ralph Houk"
"Don Johnson"
"Sherm Lollar"
"Johnny Lucadello"
"Al Lyons"
"Ray Mack"
"George McQuinn"
"Bobo Newsom"
"Joe Page"
"Jack Phillips"
"Mel Queen"
"Vic Raschi"
"Allie Reynolds"
"Ted Sepkowski"
"Spec Shea"
"Dick Starr"
"Bill Wight"
"Hank Bauer"
"Ralph Buxton"
"Hugh Casey"
"Jerry Coleman"
"Joe Collins"
"Jim Delsing"
"Frank Hiller"
"Wally Hood"
"Dick Kryhoski"
"Eddie Lopat"
"Cliff Mapes"
"Cuddles Marshall"
"Johnny Mize HOF"
"Fenton Mole"
"Gus Niarhos"
"Duane Pillette"
"Bob Porterfield"
"Fred Sanford"
"Charlie Silvera"
"Mickey Witek"
"Gene Woodling"
"Lew Burdette"
"Tom Ferrick"
"Whitey Ford HOF"
"Johnny Hopp"
"Jackie Jensen"
"Dave Madison"
"Billy Martin"
"Ernie Nevel"
"Joe Ostrowski"
"Dick Wakefield"
"Hank Workman"
"Jim Brideweser"
"Bob Cerv"
"Clint Courtney"
"Bobby Hogue"
"Jack Kramer"
"Bob Kuzava"
"Mickey Mantle HOF"
"Gil McDougald"
"Tom Morgan"
"Bob Muncrief"
"Stubby Overmire"
"Johnny Sain"
"Art Schallock"
"Bob Wiesler"
"Archie Wilson"
"Loren Babe"
"Ewell Blackwell"
"Andy Carey"
"Tom Gorman"
"Jim McDonald"
"Bill Miller"
"Irv Noren"
"Ray Scarborough"
"Harry Schaeffer"
"Johnny Schmitz"
"Kal Segrist"
"Don Bollweg"
"Steve Kraly"
"Willy Miranda"
"Bill Renna"
"Art Schult"
"Gus Triandos"
"Frank Verdi"
"Tom Carroll"
"Jim Coates"
"Rip Coleman"
"Sonny Dixon"
"Bob Grim"
"Elston Howard"
"Billy Hunter"
"Jim Konstanty"
"Johnny Kucks"
"Don Larsen"
"Jerry Lumpe"
"Mickey McDermott"
"Bobby Richardson"
"Eddie Robinson"
"Norm Siebern"
"Lou Skizas"
"Bill Skowron"
"Enos Slaughter HOF"
"Gerry Staley"
"Tom Sturdivant"
"Ralph Terry"
"Bob Turley"
"George Wilson"
"Fritz Brickell"
"Bobby Del Greco"
"Murry Dickson"
"Art Ditmar"
"Ryne Duren"
"Johnny James"
