"Name","Year"
"Benny Bengough",1923
"Bullet Joe Bush",1923
"Joe Dugan",1923
"Mike Gazella",1923
"Lou Gehrig HOF",1923
"Hinkey Haines",1923
"Harvey Hendrick",1923
"Fred Hofmann",1923
"Waite Hoyt HOF",1923
"Ernie Johnson",1923
"Sad Sam Jones",1923
"Carl Mays",1923
"Mike McNally",1923
"Bob Meusel",1923
"Herb Pennock HOF",1923
"George Pipgras",1923
"Wally Pipp",1923
"Oscar Roettger",1923
"Babe Ruth HOF",1923
"Wally Schang",1923
"Everett Scott",1923
"Bob Shawkey",1923
"Elmer Smith",1923
"Aaron Ward",1923
"Whitey Witt",1923
"Walter Beall",1927
"Benny Bengough",1927
"Pat Collins",1927
"Earle Combs HOF",1927
"Joe Dugan",1927
"Cedric Durst",1927
"Mike Gazella",1927
"Lou Gehrig HOF",1927
"Joe Giard",1927
"Johnny Grabowski",1927
"Waite Hoyt HOF",1927
"Mark Koenig",1927
"Tony Lazzeri HOF",1927
"Bob Meusel",1927
"Wilcy Moore",1927
"Ray Morehart",1927
"Ben Paschal",1927
"Herb Pennock HOF",1927
"George Pipgras",1927
"Dutch Ruether",1927
"Babe Ruth HOF",1927
"Bob Shawkey",1927
"Urban Shocker",1927
"Myles Thomas",1927
"Julie Wera",1927
"Benny Bengough",1928
"George Burns",1928
"Archie Campbell",1928
"Pat Collins",1928
"Earle Combs HOF",1928
"Stan Coveleski HOF",1928
"Bill Dickey HOF",1928
"Joe Dugan",1928
"Leo Durocher HOF",1928
"Cedric Durst",1928
"Mike Gazella",1928
"Lou Gehrig HOF",1928
"Johnny Grabowski",1928
"Fred Heimach",1928
"Waite Hoyt HOF",1928
"Hank Johnson",1928
"Mark Koenig",1928
"Tony Lazzeri HOF",1928
"Bob Meusel",1928
"Wilcy Moore",1928
"Ben Paschal",1928
"Herb Pennock HOF",1928
"George Pipgras",1928
"Gene Robertson",1928
"Babe Ruth HOF",1928
"Rosy Ryan",1928
"Al Shealy",1928
"Urban Shocker",1928
"Myles Thomas",1928
"Tom Zachary",1928
"Johnny Allen",1932
"Ivy Andrews",1932
"Jumbo Brown",1932
"Samuel Byrd",1932
"Ben Chapman",1932
"Earle Combs HOF",1932
"Dusty Cooke",1932
"Frankie Crosetti",1932
"Charlie Devens",1932
"Bill Dickey HOF",1932
"Doc Farrell",1932
"Lou Gehrig HOF",1932
"Joe Glenn",1932
"Lefty Gomez HOF",1932
"Myril Hoag",1932
"Hank Johnson",1932
"Arndt Jorgens",1932
"Lyn Lary",1932
"Tony Lazzeri HOF",1932
"Danny MacFayden",1932
"Wilcy Moore",1932
"Johnny Murphy",1932
"Herb Pennock HOF",1932
"Eddie Phillips",1932
"George Pipgras",1932
"Gordon Rhodes",1932
"Red Ruffing HOF",1932
"Babe Ruth HOF",1932
"Jack Saltzgaver",1932
"Roy Schalk",1932
"Joe Sewell HOF",1932
"Ed Wells",1932
"Johnny Broaca",1936
"Jumbo Brown",1936
"Ben Chapman",1936
"Frankie Crosetti",1936
"Bill Dickey HOF",1936
"Joe DiMaggio HOF",1936
