id,sentiment,score_compound,score_neg,score_neu,score_pos
1320251,neu,0.0,0.0,1.0,0.0
1320252,neu,-0.6597,0.403,0.597,0.0
1320253,neu,0.3549,0.213,0.557,0.23
1320254,neu,-0.2263,0.173,0.703,0.124
1320255,neu,0.8555,0.07,0.704,0.226
1320256,neu,-0.6072,0.22,0.78,0.0
1320257,neu,0.5267,0.0,0.541,0.459
1320258,neu,-0.25,0.226,0.616,0.158
1320259,neu,-0.3971,0.139,0.751,0.11
1320260,neu,-0.0258,0.314,0.378,0.308
1320261,pos,0.4738,0.0,0.245,0.755
1320262,neu,0.0,0.0,1.0,0.0
1320263,neu,0.0,0.0,1.0,0.0
1320264,neu,0.0,0.0,1.0,0.0
1320265,neu,0.6409,0.135,0.521,0.344
1320266,neu,-0.9469,0.363,0.637,0.0
1320267,neu,0.2686,0.109,0.699,0.193
1320268,neu,0.0,0.0,1.0,0.0
1320269,neu,0.0,0.0,1.0,0.0
1320270,neu,0.0,0.0,1.0,0.0
1320271,neu,0.4939,0.115,0.647,0.238
1320272,neu,-0.4215,0.258,0.532,0.21
1320273,neu,-0.936,0.108,0.854,0.038
1320274,neu,-0.4939,0.167,0.833,0.0
1320275,neu,-0.2516,0.038,0.962,0.0
1320276,neu,0.0,0.0,1.0,0.0
1320277,pos,0.3612,0.0,0.286,0.714
1320278,neu,0.0,0.0,1.0,0.0
1320279,neu,0.0,0.066,0.868,0.066
1320280,neu,-0.9186,0.224,0.776,0.0
1320281,neu,-0.4939,0.198,0.802,0.0
1320282,neu,0.0,0.0,1.0,0.0
1320283,neu,-0.7579,0.206,0.794,0.0
1320284,neu,-0.7885,0.089,0.911,0.0
1320285,neu,-0.2924,0.154,0.846,0.0
1320286,neg,-0.9287,0.648,0.352,0.0
1320287,neu,0.6335,0.096,0.793,0.111
1320288,pos,0.296,0.0,0.476,0.524
1320289,neu,-0.8271,0.263,0.699,0.038
1320290,neu,-0.8227,0.121,0.849,0.03
1320291,neu,0.4201,0.0,0.589,0.411
1320292,neu,-0.4939,0.23,0.664,0.105
1320293,neu,-0.1793,0.103,0.808,0.089
1320294,neu,0.5563,0.0,0.931,0.069
1320295,neu,0.0,0.0,1.0,0.0
1320296,neu,-0.8049,0.171,0.829,0.0
1320297,neu,0.3412,0.0,0.714,0.286
1320298,neu,0.1511,0.0,0.79,0.21
1320299,neu,0.4986,0.114,0.718,0.168
1320300,neu,0.3612,0.0,0.783,0.217
1320301,neu,0.9042,0.0,0.711,0.289
1320302,neu,-0.2755,0.07,0.93,0.0
1320303,neu,0.0,0.0,1.0,0.0
1320304,neu,0.0,0.0,1.0,0.0
1320305,neu,-0.1045,0.128,0.756,0.116
1320306,neu,0.982,0.039,0.655,0.306
1320307,neu,0.3384,0.0,0.676,0.324
1320308,neu,0.1901,0.077,0.825,0.098
1320309,neu,-0.9843,0.42,0.58,0.0
1320310,neu,0.0,0.0,1.0,0.0
1320311,neu,0.0,0.0,1.0,0.0
1320312,neu,-0.1166,0.101,0.786,0.113
1320313,neu,-0.5025,0.121,0.848,0.031
1320314,neu,0.2192,0.038,0.878,0.084
1320315,neu,-0.9967,0.27,0.687,0.043
1320316,neu,0.4404,0.0,0.508,0.492
1320317,neu,-0.8744,0.37,0.63,0.0
1320318,neu,0.0,0.0,1.0,0.0
1320319,neu,0.0,0.0,1.0,0.0
1320320,pos,0.807,0.0,0.49,0.51
1320321,neu,0.0,0.0,1.0,0.0
1320322,neu,0.0,0.0,1.0,0.0
1320323,neu,-0.128,0.286,0.476,0.238
1320324,neu,0.0,0.0,1.0,0.0
1320325,neu,0.2856,0.075,0.78,0.145
1320326,neu,-0.5574,0.265,0.735,0.0
1320327,neu,-0.2911,0.244,0.626,0.13
1320328,neu,0.2023,0.172,0.611,0.217
1320329,neu,0.2944,0.18,0.469,0.351
1320330,neu,0.0,0.0,1.0,0.0
1320331,neu,0.3377,0.073,0.814,0.112
1320332,neu,-0.5423,0.184,0.704,0.112
1320333,neu,0.0,0.0,1.0,0.0
1320334,neu,0.0,0.0,1.0,0.0
1320335,neu,-0.4588,0.273,0.727,0.0
1320336,neu,-0.2057,0.127,0.772,0.101
1320337,neu,-0.5719,0.188,0.812,0.0
1320338,pos,0.7906,0.0,0.417,0.583
1320339,neu,-0.128,0.303,0.449,0.247
1320340,neu,-0.4767,0.333,0.508,0.158
1320341,neu,0.862,0.059,0.662,0.278
1320342,neu,0.4404,0.0,0.508,0.492
1320343,neu,-0.9752,0.232,0.768,0.0
1320344,neu,0.0,0.0,1.0,0.0
1320345,neu,0.1368,0.102,0.801,0.097
1320346,pos,0.3612,0.0,0.0,1.0
1320347,neu,0.0,0.0,1.0,0.0
1320348,neu,-0.5558,0.241,0.623,0.135
1320349,neu,-0.6908,0.235,0.684,0.081
1320350,neg,-0.6808,0.418,0.411,0.171
1320351,neu,-0.5093,0.397,0.603,0.0
1320352,neu,0.5862,0.079,0.772,0.149
1320353,neu,-0.0485,0.104,0.814,0.081
1320354,neu,-0.4588,0.375,0.625,0.0
1320397,neu,0.0,0.0,1.0,0.0
1320398,neu,-0.9179,0.335,0.607,0.058
1320399,neu,0.0,0.0,1.0,0.0
1320400,neu,0.0,0.0,1.0,0.0
1320401,neu,-0.97,0.175,0.811,0.014
1320402,neu,-0.9868,0.176,0.777,0.047
1320403,neu,0.0,0.0,1.0,0.0
1320404,neu,0.431,0.0,0.637,0.363
1320405,neu,0.0,0.0,1.0,0.0
1320406,neu,0.7845,0.0,0.559,0.441
1320407,neu,0.0,0.0,1.0,0.0
1320408,neu,-0.5423,0.412,0.588,0.0
1320409,neu,0.3832,0.0,0.833,0.167
1320410,neu,0.0,0.158,0.684,0.158
1320411,neu,0.1045,0.169,0.652,0.178
1320412,neu,0.0,0.0,1.0,0.0
1320413,neu,0.0,0.0,1.0,0.0
1320414,neu,0.0772,0.0,0.822,0.178
1320415,neu,0.4926,0.0,0.79,0.21
1320416,neu,-0.4336,0.269,0.499,0.232
1320417,neu,-0.4215,0.292,0.466,0.242
1320421,neu,-0.4019,0.351,0.649,0.0
1320422,pos,0.5574,0.0,0.465,0.535
1320423,neu,0.0,0.0,1.0,0.0
1320424,neu,0.0,0.0,1.0,0.0
1320425,neu,-0.06,0.048,0.916,0.036
1320426,neu,0.0,0.0,1.0,0.0
1320427,neu,-0.1027,0.055,0.945,0.0
1320428,neu,-0.6808,0.247,0.753,0.0
1320429,neu,0.0,0.0,1.0,0.0
1320430,neu,-0.6275,0.089,0.843,0.068
1320431,neu,-0.8779,0.179,0.821,0.0
1320432,neu,0.8555,0.118,0.601,0.281
1320433,neu,0.128,0.123,0.726,0.151
1320434,neu,-0.4215,0.359,0.641,0.0
1320435,neu,-0.4292,0.102,0.835,0.063
1320436,neu,-0.7752,0.109,0.874,0.017
1320437,neu,0.4404,0.0,0.847,0.153
1320438,neu,0.5859,0.0,0.912,0.088
1320439,neu,-0.552,0.097,0.903,0.0
1320440,neu,-0.3804,0.117,0.805,0.078
1320441,neu,0.6697,0.0,0.64,0.36
1320442,neu,0.0,0.0,1.0,0.0
1320443,neu,-0.9531,0.154,0.782,0.064
1320444,neu,0.8078,0.023,0.858,0.119
1320445,neu,-0.3182,0.361,0.412,0.227
1320446,neu,0.0,0.0,1.0,0.0
1320447,neu,0.0,0.0,1.0,0.0
1320448,neu,-0.7808,0.124,0.839,0.037
1320449,neu,0.4528,0.0,0.853,0.147
1320450,neu,-0.4168,0.112,0.888,0.0
1320451,neu,-0.4404,0.172,0.828,0.0
1320452,neu,0.0,0.0,1.0,0.0
1320453,neu,0.7845,0.058,0.699,0.242
1320454,neu,-0.4101,0.048,0.952,0.0
1320455,neu,0.5371,0.0,0.825,0.175
1320456,neu,-0.7579,0.152,0.848,0.0
1320457,neu,-0.2047,0.052,0.948,0.0
1320458,neu,0.0772,0.0,0.933,0.067
1320459,neu,0.0,0.0,1.0,0.0
1320460,neu,-0.2799,0.209,0.633,0.157
1320461,neu,0.0,0.0,1.0,0.0
1320462,neu,0.0258,0.186,0.62,0.194
1320463,neu,0.8455,0.011,0.916,0.073
1320464,neu,0.0516,0.255,0.479,0.266
1320465,neu,-0.8593,0.193,0.784,0.023
1320466,neu,0.0,0.083,0.833,0.083
1320467,neu,-0.8969,0.221,0.622,0.157
1320468,neu,-0.5423,0.278,0.592,0.13
1320469,neu,-0.9565,0.26,0.713,0.026
1320470,neu,-0.6786,0.314,0.686,0.0
1320471,neu,0.0,0.0,1.0,0.0
1320472,neu,0.101,0.219,0.439,0.342
1320473,neu,-0.3626,0.208,0.66,0.132
1320474,neu,0.2732,0.0,0.704,0.296
1320475,neu,0.0,0.0,1.0,0.0
1320476,neu,-0.5083,0.045,0.943,0.013
1320477,neu,-0.7754,0.313,0.687,0.0
1320478,neg,-0.765,0.569,0.431,0.0
1320479,neu,-0.7841,0.277,0.723,0.0
1320480,neu,0.5994,0.0,0.606,0.394
1320481,neu,0.0,0.0,1.0,0.0
1320482,neu,-0.9496,0.22,0.754,0.026
1320483,neu,-0.7844,0.162,0.838,0.0
1320484,neu,0.0,0.0,1.0,0.0
1320485,neu,-0.4019,0.13,0.87,0.0
1320486,neu,-0.8818,0.127,0.836,0.037
1320487,neu,-0.5106,0.281,0.719,0.0
1320488,neu,-0.3182,0.112,0.804,0.084
1320489,neu,0.3065,0.06,0.826,0.115
1320490,neu,-0.4588,0.338,0.519,0.143
1320491,neu,0.0,0.0,1.0,0.0
1320492,neu,0.5734,0.041,0.887,0.071
1320493,pos,0.0516,0.355,0.263,0.382
1320494,neu,-0.6369,0.286,0.714,0.0
