billIndex,billId,billStatus,billType,billTitle
0,s1-114,VETOED:OVERRIDE_FAIL_ORIGINATING:SENATE,s,Keystone XL Pipeline Approval Act
1,s100-114,REFERRED,s,Home School Opportunities Make Education Sound Act of 2015
2,s1000-114,REPORTED,s,SCORE for Small Business Act of 2015
3,s1001-114,REPORTED,s,Small Business Lending Reauthorization Act of 2015
4,s1002-114,REFERRED,s,A bill to amend the Internal Revenue Code of 1986 to provide for collegiate housing and infrastructure grants.
5,s1003-114,REFERRED,s,Trade Adjustment Assistance Enhancement Act of 2015
6,s1004-114,PASS_OVER:SENATE,s,Veterans Day Moment of Silence Act
7,s1005-114,REFERRED,s,"A bill to amend the Internal Revenue Code of 1986 to extend and modify the credit for health insurance costs of certain eligible individuals, and for other purposes."
8,s1006-114,REFERRED,s,Positive Train Control Safety Act
9,s1007-114,REPORTED,s,A bill to amend the Dayton Aviation Heritage Preservation Act of 1992 to rename a site of the Dayton Aviation Heritage National Historical Park.
10,s1008-114,REFERRED,s,A bill to require certain agencies to conduct assessments of data centers and develop data center consolidation and optimization plans.
11,s1009-114,REFERRED,s,AGOA Extension and Enhancement Act of 2015
12,s101-114,REFERRED,s,"A bill to amend the Internal Revenue Code of 1986 to expand the Coverdell education savings accounts to allow home school education expenses, and for other purposes."
13,s1010-114,REFERRED,s,"Small Business Mergers, Acquisitions, Sales, and Brokerage Simplification Act of 2015"
14,s1011-114,REFERRED,s,State Trade and Export Promotion Utilization Program for American Small Businesses Act
15,s1012-114,REFERRED,s,Working Families Tax Relief Act of 2015
16,s1013-114,REFERRED,s,Ensuring Access to Quality Complex Rehabilitation Technology Act of 2015
17,s1014-114,REFERRED,s,Personal Care Products Safety Act
18,s1015-114,REFERRED,s,Enforcing Orders and Reducing Customs Evasion Act of 2015
19,s1016-114,REFERRED,s,Preserving Freedom and Choice in Health Care Act
20,s1017-114,REFERRED,s,"A bill to amend the Federal Power Act to improve the siting of interstate electric transmission facilities, and for other purposes."
21,s1018-114,REFERRED,s,SWAT Act
22,s1019-114,REFERRED,s,Freedom from Over-Criminalization and Unjust Seizures Act of 2015
23,s102-114,REFERRED,s,21st Century Charter School Act
24,s1020-114,REFERRED,s,Diagnostic Imaging Services Access Protection Act of 2015
25,s1021-114,REFERRED,s,Wounded Warrior Workforce Enhancement Act
26,s1022-114,REFERRED,s,Wounded Warrior Research Enhancement Act
27,s1023-114,REFERRED,s,A bill to amend the Internal Revenue Code to provide a refundable credit for costs associated with Information Sharing and Analysis Organizations.
28,s1024-114,REPORTED,s,Great Lakes Restoration Initiative Act of 2016
29,s1025-114,REFERRED,s,Student Testing Improvement and Accountability Act
30,s1026-114,REFERRED,s,North American Alternative Fuels Act
31,s1027-114,REFERRED,s,Data Breach Notification and Punishing Cyber Criminals Act of 2015
32,s1028-114,REFERRED,s,Ensuring a Better Response for Victims of Child Sex Trafficking
33,s1029-114,REFERRED,s,"A bill to amend the Energy Policy and Conservation Act to prohibit the Secretary of Energy from prescribing a final rule amending the efficiency standards for residential non-weatherized gas furnaces or mobile home furnaces until an analysis has been completed, and for other purposes."
34,s103-114,REFERRED,s,Ensuring Pay for Our Military Act
35,s1030-114,REFERRED,s,Aaron's Law Act of 2015
36,s1031-114,REFERRED,s,WIOA Technical Amendments Act
37,s1032-114,REFERRED,s,Accountability Through Electronic Verification Act
38,s1033-114,REFERRED,s,Quadrennial Energy Review Act of 2015
39,s1034-114,REPORTED,s,"A bill to designate the United States courthouse located at 501 East Court Street in Jackson, Mississippi, as the ""Charles Clark United States Courthouse""."
40,s1035-114,REPORTED,s,"A bill to extend authority relating to roving surveillance, access to business records, and individual terrorists as agents of foreign powers under the Foreign Intelligence Surveillance Act of 1978 and for other purposes."
41,s1036-114,REFERRED,s,Sage-Grouse Protection and Conservation Act
42,s1037-114,REFERRED,s,A bill to expand the provisions for termination of mandatory purchase requirements under the Public Utility Regulatory Policies Act of 1978.
43,s1038-114,REFERRED,s,Energy Star Program Integrity Act
44,s1039-114,REFERRED,s,A bill to require certain agencies to conduct assessments of data centers and develop data center consolidation and optimization plans to achieve energy cost savings.
45,s104-114,REFERRED,s,Natural Disaster Fairness in Contracting Act of 2015
46,s1040-114,REPORTED,s,ROV In-Depth Examination Act of 2015
47,s1041-114,REFERRED,s,End Polluter Welfare Act of 2015
48,s1042-114,REFERRED,s,Clean Ocean and Safe Tourism Anti-Drilling Act
49,s1043-114,REFERRED,s,Invest in American Jobs Act of 2015
50,s1044-114,REFERRED,s,Access to Consumer Energy Information Act
51,s1045-114,REFERRED,s,Restoring the 10th Amendment Act
52,s1046-114,REFERRED,s,Smart Building Acceleration Act
53,s1047-114,REFERRED,s,"A bill to require the Secretary of Energy to review rulemaking proceedings of other Federal agencies for the potential to cause an adverse effect on the cost, time, or difficulty of complying with energy efficiency regulations, guidelines, or standards."
54,s1048-114,REFERRED,s,A bill to remove the authority of the Secretary of Energy to amend or issue new energy efficiency standards for ceiling fans.
55,s1049-114,REFERRED,s,Agricultural Export Expansion Act of 2015
56,s105-114,REFERRED,s,Red Snapper Management Improvement Act
57,s1050-114,REFERRED,s,INSPIRES Act
58,s1051-114,REFERRED,s,National Health Service Corps Expansion Act of 2015
59,s1052-114,REFERRED,s,"A bill to require a study on the impact of State and local performance benchmarking and disclosure policies for commercial and multifamily buildings, to provide for competitive awards to utilities, States, and units of local government, and for other purposes."
60,s1053-114,REFERRED,s,A bill to amend the National Energy Conservation Policy Act to promote alternative fueled vehicle fleets and infrastructure.
61,s1054-114,REFERRED,s,Smart Manufacturing Leadership Act
62,s1055-114,REFERRED,s,A bill to require the Administrator of General Services and the Secretary of Energy to set goals for deep energy retrofits in Federal buildings.
63,s1056-114,REFERRED,s,End Racial Profiling Act of 2015
64,s1057-114,REFERRED,s,GEO Act
65,s1058-114,REFERRED,s,Marine and Hydrokinetic Renewable Energy Act of 2015
66,s1059-114,REFERRED,s,College Options for DREAMers Act
67,s106-114,REFERRED,s,Ending Legacy Lawsuit Abuse Act
68,s1060-114,REFERRED,s,Pell Grant Protection Act
69,s1061-114,REFERRED,s,Pell Grant Cost of Tuition Adjustment Act
70,s1062-114,REFERRED,s,Year-Round Pell Grant Restoration Act
71,s1063-114,REFERRED,s,American Energy Efficiency Act
72,s1064-114,REFERRED,s,Family Asthma Act
73,s1065-114,REFERRED,s,School Asthma Management Plan Act
74,s1066-114,REFERRED,s,Medicare Safe Needle Disposal Coverage Act of 2015
75,s1067-114,REFERRED,s,Regulatory Review and Sunset Act of 2015
76,s1068-114,REFERRED,s,A bill to amend the Federal Power Act to protect the bulk-power system from cyber security threats.
77,s1069-114,REFERRED,s,Complete America's Great Trails Act
78,s107-114,REFERRED,s,Terminating the Expansion of Too-Big-To-Fail Act of 2015
79,s1070-114,REFERRED,s,GI Education Benefit Fairness Act of 2015
80,s1071-114,REFERRED,s,Fairness for Victims of Crime Act of 2015
81,s1072-114,REFERRED,s,Supreme Court Ethics Act of 2015
82,s1073-114,REPORTED,s,Stopping Improper Payments to Deceased People Act
83,s1074-114,REFERRED,s,National Scenic Trails Parity Act
84,s1075-114,REFERRED,s,FIT Kids Act
85,s1076-114,REFERRED,s,Smartphone Theft Prevention Act of 2015
86,s1077-114,REPORTED,s,Advancing Breakthrough Devices for Patients Act of 2016
87,s1078-114,REFERRED,s,Healthy Kids Outdoors Act of 2015
88,s1079-114,REFERRED,s,SCREEN Act of 2015
89,s108-114,REFERRED,s,Financial Aid Simplification and Transparency Act of 2015
90,s1080-114,REFERRED,s,Protect Marriage from the Courts Act of 2015
91,s1081-114,REFERRED,s,Refuge from Cruel Trapping Act
92,s1082-114,REPORTED,s,Department of Veterans Affairs Accountability Act of 2015
93,s1083-114,REFERRED,s,Medicare Drug Savings Act of 2015
94,s1084-114,REFERRED,s,PCAOB Enforcement Transparency Act of 2015
95,s1085-114,REFERRED,s,Military and Veteran Caregiver Services Improvement Act of 2015
96,s1086-114,REFERRED,s,International Insurance Capital Standards Accountability Act of 2015
97,s1087-114,REFERRED,s,Pets on Trains Act of 2015
98,s1088-114,REFERRED,s,Voter Registration Modernization Act
99,s1089-114,REFERRED,s,Social Impact Partnership Act
100,s109-114,REFERRED,s,Enumerated Powers Act
101,s1090-114,ENACTED:SIGNED,s,Emergency Information Improvement Act of 2015
102,s1091-114,REFERRED,s,A bill for the relief of Alfredo Plascencia Lopez.
103,s1092-114,REFERRED,s,"A bill for the relief of Ruben Mkoian, Asmik Karapetian, and Arthur Mkoyan."
104,s1093-114,REFERRED,s,"A bill for the relief of Jose Alberto Martinez Moreno, Micaela Lopez Martinez, and Adilene Martinez."
105,s1094-114,REFERRED,s,A bill for the relief of Javier Lopez-Urenda and Maria Leticia Arenas.
106,s1095-114,REFERRED,s,A bill for the relief of Jorge Rojas Gutierrez and Oliva Gonzalez Gonzalez.
107,s1096-114,REFERRED,s,A bill for the relief of Joseph Gabra and Sharon Kamel.
108,s1097-114,REFERRED,s,A bill for the relief of Alicia Aranda De Buendia.
109,s1098-114,REFERRED,s,"A bill for the relief of Esidronio Arreola-Saucedo, Maria Elna Cobian Arreola, Nayely Arreola Carlos, and Cindy Jael Arreola."
110,s1099-114,REFERRED,s,PACE Act
111,s11-114,REFERRED,s,ENFORCE the Law Act of 2015
112,s110-114,REFERRED,s,Environmental Protection Agency Accountability Act of 2015
113,s1100-114,REFERRED,s,Prescribed Burn Approval Act of 2015
114,s1101-114,REPORTED,s,Medical Electronic Data Technology Enhancement for Consumers' Health Act
115,s1102-114,REFERRED,s,Protect Student Borrowers Act of 2015
116,s1103-114,REPORTED,s,A bill to reinstate and extend the deadline for commencement of construction of a hydroelectric project involving Clark Canyon Dam.
117,s1104-114,REPORTED,s,A bill to extend the deadline for commencement of construction of a hydroelectric project involving the Gibson Dam.
118,s1105-114,REFERRED,s,"A bill to amend title 38, United States Code, to authorize per diem payments under comprehensive service programs for homeless veterans to furnish care to dependents of homeless veterans, and for other purposes."
119,s1106-114,REFERRED,s,"Go to High School, Go to College Act of 2015"
120,s1107-114,REFERRED,s,Fluke Fairness Act of 2015
121,s1108-114,REFERRED,s,Stanley Cooper Death Benefits for Court Security Officers Act
122,s1109-114,PASS_OVER:SENATE,s,Truth in Settlements Act of 2015
123,s111-114,REFERRED,s,Protect America's Cities from Government Blacklist Act of 2015
124,s1110-114,REFERRED,s,National Forest System Trails Stewardship Act
125,s1111-114,REFERRED,s,Public Power Risk Management Act of 2015
126,s1112-114,REFERRED,s,Protecting America's Workers Act
127,s1113-114,REFERRED,s,"A bill to amend title 28, United States Code, to remand certain civil actions transferred by the judicial panel on multidistrict litigation."
128,s1114-114,REFERRED,s,Toxics by Rail Accountability and Community Knowledge Act of 2015
129,s1115-114,ENACTED:SIGNED,s,GONE Act
130,s1116-114,REFERRED,s,Freedom from Government Competition Act
131,s1117-114,REFERRED,s,Ensuring Veteran Safety Through Accountability Act of 2015
132,s1118-114,REFERRED,s,National Defense Authorization Act for Fiscal Year 2016
133,s1119-114,REFERRED,s,National Criminal Justice Commission Act of 2015
134,s112-114,REFERRED,s,Common Sense in Species Protection Act of 2015
135,s1120-114,REFERRED,s,"A bill to make aliens associated with a criminal gang inadmissible, deportable, and ineligible for various forms of relief."
136,s1121-114,REFERRED,s,PAST Act
137,s1122-114,REFERRED,s,Court Legal Access and Student Support (CLASS) Act of 2015
138,s1123-114,REFERRED,s,Uniting and Strengthening America by Fulfilling Rights and Ensuring Effective Discipline Over Monitoring Act of 2015
139,s1124-114,ENACTED:SIGNED,s,WIOA Technical Amendments Act
140,s1125-114,REPORTED,s,Blackfeet Water Rights Settlement Act of 2015
141,s1126-114,REFERRED,s,State Partnership Program Enhancement Act of 2015
142,s1127-114,REFERRED,s,Stop Subsidizing Multimillion Dollar Corporate Bonuses Act
143,s1128-114,REFERRED,s,Early Pell Promise Act
144,s1129-114,REFERRED,s,Tobacco Tax and Enforcement Reform Act
145,s113-114,REFERRED,s,Public Land Job Creation Act of 2015
146,s1130-114,REFERRED,s,Legal Justice for Servicemembers Act of 2015
147,s1131-114,REFERRED,s,Medicare Diabetes Prevention Act of 2015
148,s1132-114,REFERRED,s,Registered Nurse Safe Staffing Act of 2015
149,s1133-114,REFERRED,s,Arbitration Fairness Act of 2015
150,s1134-114,REFERRED,s,"Heroin and Prescription Opioid Abuse Prevention, Education, and Enforcement Act of 2015"
151,s1135-114,REFERRED,s,Hospital Payment Fairness Act of 2015
152,s1136-114,REFERRED,s,"A bill relating to the modernization of C-130 aircraft to meet applicable regulations of the Federal Aviation Administration, and for other purposes."
153,s1137-114,REPORTED,s,PATENT Act
154,s1138-114,REFERRED,s,Reclassification to Ensure Smarter and Equal Treatment Act of 2015
155,s1139-114,REFERRED,s,Same Day Registration Act
156,s114-114,REFERRED,s,Veterans Affairs Research Transparency Act of 2015
157,s1140-114,PROV_KILL:CLOTUREFAILED,s,Federal Water Quality Protection Act
158,s1141-114,REFERRED,s,Small Business Tax Certainty and Growth Act of 2015
159,s1142-114,REFERRED,s,Native Species Protection Act
160,s1143-114,REPORTED,s,West Coast Dungeness Crab Management Act
161,s1144-114,REFERRED,s,Federal Employees Sustainable Investment Act
162,s1145-114,REFERRED,s,Robert C. Byrd Mine Safety Protection Act of 2015
163,s1146-114,REFERRED,s,Healthy School Meals Flexibility Act
164,s1147-114,REFERRED,s,"A bill to designate the Federal building and United States courthouse located at 83 Meeting Street in Charleston, South Carolina, as the ""J. Waties Waring Judicial Center""."
165,s1148-114,REFERRED,s,Resident Physician Shortage Reduction Act of 2015
166,s1149-114,REFERRED,s,"A bill to amend title XVIII of the Social Security Act to require reporting of certain data by providers and suppliers of air ambulance services for purposes of reforming reimbursements for such services under the Medicare program, and for other purposes."
167,s115-114,REFERRED,s,Transparency in Small Business Assistance Act
168,s1150-114,REFERRED,s,Raise the Wage Act
169,s1151-114,REFERRED,s,USPSTF Transparency and Accountability Act of 2015
170,s1152-114,REFERRED,s,Foreclosure Relief and Extension for Servicemembers Act of 2015
171,s1153-114,REFERRED,s,Red River Private Property Protection Act
172,s1154-114,REFERRED,s,Subsistence Access Management Act of 2015
173,s1155-114,REFERRED,s,Geothermal Exploration and Technology Act of 2015
174,s1156-114,REFERRED,s,Protecting Employees and Retirees in Business Bankruptcies Act of 2015
175,s1157-114,REFERRED,s,"A bill to require the Director of the Office of Management and Budget to consider Brunswick County, North Carolina to be part of the same metropolitan statistical area as Wilmington, North Carolina."
176,s1158-114,REFERRED,s,Consumer Privacy Protection Act of 2015
177,s1159-114,REFERRED,s,Public Good IRA Rollover Act of 2015
178,s116-114,REFERRED,s,Telephone Excise Tax Elimination Act of 2015
179,s1160-114,REFERRED,s,Public Lands Service Corps Act of 2015
180,s1161-114,REFERRED,s,Horse Protection Amendments Act of 2015
181,s1162-114,REFERRED,s,Federal Law Enforcement Self-Defense and Protection Act of 2015
182,s1163-114,REPORTED,s,Native American Languages Reauthorization Act of 2015
183,s1164-114,REFERRED,s,End Discriminatory State Taxes for Automobile Renters Act of 2015
184,s1165-114,REFERRED,s,Protecting Students from Worthless Degrees Act
185,s1166-114,REFERRED,s,BUILD Career and Technical Education Act of 2015
186,s1167-114,REPORTED,s,Owyhee Wilderness Areas Boundary Modifications Act
187,s1168-114,REFERRED,s,Preserving Rehabilitation Innovation Centers Act of 2015
188,s1169-114,REPORTED,s,Juvenile Justice and Delinquency Prevention Reauthorization Act of 2015
189,s117-114,REFERRED,s,Jerusalem Embassy and Recognition Act of 2015
190,s1170-114,ENACTED:SIGNED,s,Breast Cancer Research Stamp Reauthorization Act of 2015
191,s1171-114,REFERRED,s,Seismic Moratorium Act
192,s1172-114,ENACTED:SIGNED,s,"Edward ""Ted"" Kaufman and Michael Leavitt Presidential Transitions Improvements Act of 2015"
193,s1173-114,REFERRED,s,Raechel and Jacqueline Houck Safe Rental Car Act of 2015
194,s1174-114,REFERRED,s,Teller All Gone Horseracing Deregulation Act of 2015
195,s1175-114,REFERRED,s,Hazardous Materials Rail Transportation Safety Improvement Act of 2015
196,s1176-114,REFERRED,s,EMPOWER Act of 2015
197,s1177-114,ENACTED:SIGNED,s,Every Child Achieves Act of 2015
198,s1178-114,REFERRED,s,Defending Rivers from Overreaching Policies Act of 2015
