cosponsorIndex,billId,billCoSponsorName,originalCoSponsor
0,s1-114,Lamar Alexander,1
1,s1-114,Kelly Ayotte,1
2,s1-114,John Barrasso,1
3,s1-114,Roy Blunt,1
4,s1-114,John Boozman,1
5,s1-114,Richard Burr,1
6,s1-114,Shelley Moore Capito,1
7,s1-114,Bill Cassidy,1
8,s1-114,Daniel Coats,1
9,s1-114,Thad Cochran,1
10,s1-114,Susan M. Collins,1
11,s1-114,Bob Corker,1
12,s1-114,John Cornyn,1
13,s1-114,Tom Cotton,1
14,s1-114,Mike Crapo,1
15,s1-114,Ted Cruz,1
16,s1-114,Steve Daines,1
17,s1-114,Joe Donnelly,1
18,s1-114,Michael B. Enzi,1
19,s1-114,Joni Ernst,1
20,s1-114,Deb Fischer,1
21,s1-114,Jeff Flake,1
22,s1-114,Cory Gardner,1
23,s1-114,Lindsey Graham,1
24,s1-114,Chuck Grassley,1
25,s1-114,Orrin G. Hatch,1
26,s1-114,Heidi Heitkamp,1
27,s1-114,Dean Heller,1
28,s1-114,James M. Inhofe,1
29,s1-114,Johnny Isakson,1
30,s1-114,Ron Johnson,1
31,s1-114,Mark Steven Kirk,1
32,s1-114,James Lankford,1
33,s1-114,Mike Lee,1
34,s1-114,Joe Manchin III,1
35,s1-114,John McCain,1
36,s1-114,Claire McCaskill,1
37,s1-114,Mitch McConnell,1
38,s1-114,Jerry Moran,1
39,s1-114,Lisa Murkowski,1
40,s1-114,Rand Paul,1
41,s1-114,David Perdue,1
42,s1-114,Rob Portman,1
43,s1-114,James E. Risch,1
44,s1-114,Pat Roberts,1
45,s1-114,Mike Rounds,1
46,s1-114,Marco Rubio,1
47,s1-114,Ben Sasse,1
48,s1-114,Tim Scott,1
49,s1-114,Jeff Sessions,1
50,s1-114,Richard C. Shelby,1
51,s1-114,Dan Sullivan,1
52,s1-114,Jon Tester,1
53,s1-114,John Thune,1
54,s1-114,Thom Tillis,1
55,s1-114,Pat Toomey,1
56,s1-114,David Vitter,1
57,s1-114,Mark R. Warner,1
58,s1-114,Roger F. Wicker,1
59,s1000-114,Kelly Ayotte,0
60,s1000-114,Christopher A. Coons,1
61,s1000-114,Cory Gardner,0
62,s1000-114,Gary C. Peters,0
63,s1000-114,Tom Udall,0
64,s1001-114,Kelly Ayotte,0
65,s1001-114,Christopher A. Coons,0
66,s1001-114,Cory Gardner,1
67,s1001-114,Mazie K. Hirono,0
68,s1001-114,Gary C. Peters,1
69,s1001-114,Jeanne Shaheen,1
70,s1002-114,Roy Blunt,0
71,s1002-114,John Boozman,0
72,s1002-114,Shelley Moore Capito,0
73,s1002-114,Thomas R. Carper,1
74,s1002-114,Michael B. Enzi,1
75,s1002-114,Johnny Isakson,0
76,s1002-114,Jerry Moran,0
77,s1002-114,James E. Risch,0
78,s1002-114,Pat Roberts,0
79,s1002-114,David Vitter,0
80,s1002-114,Roger F. Wicker,0
81,s1003-114,Ron Wyden,1
82,s1004-114,John Cornyn,0
83,s1004-114,Richard Durbin,1
84,s1004-114,James M. Inhofe,1
85,s1004-114,Joe Manchin III,1
86,s1004-114,Edward J. Markey,1
87,s1004-114,Debbie Stabenow,0
88,s1004-114,Elizabeth Warren,1
89,s1006-114,Richard Blumenthal,1
90,s1006-114,Barbara Boxer,1
91,s1006-114,Kirsten E. Gillibrand,1
92,s1006-114,Edward J. Markey,0
93,s1006-114,Christopher S. Murphy,0
94,s1006-114,Bill Nelson,0
95,s1006-114,Charles E. Schumer,1
96,s1007-114,Sherrod Brown,1
97,s1010-114,James Lankford,0
98,s1010-114,David Vitter,1
99,s1011-114,Susan M. Collins,1
100,s1011-114,Jeanne Shaheen,1
101,s1012-114,Tammy Baldwin,1
102,s1012-114,Michael F. Bennet,1
103,s1012-114,Richard Blumenthal,1
104,s1012-114,Cory A. Booker,1
105,s1012-114,Barbara Boxer,1
106,s1012-114,Maria Cantwell,1
107,s1012-114,Benjamin L. Cardin,1
108,s1012-114,Thomas R. Carper,1
109,s1012-114,Robert P. Jr. Casey,1
110,s1012-114,Christopher A. Coons,1
111,s1012-114,Richard Durbin,1
112,s1012-114,Dianne Feinstein,1
113,s1012-114,Al Franken,1
114,s1012-114,Kirsten E. Gillibrand,1
115,s1012-114,Martin Heinrich,1
