senetorId,senetor,state,thomasID,bioGuideId
0,John Hoeven,ND,02079,H001061
1,David Vitter,LA,01609,V000127
2,James E. Risch,ID,01896,R000584
3,Benjamin L. Cardin,MD,00174,C000141
4,Susan M. Collins,ME,01541,C001035
5,Mark Steven Kirk,IL,01647,K000360
6,Ron Wyden,OR,01247,W000779
7,Dianne Feinstein,CA,01332,F000062
8,Rob Portman,OH,00924,P000449
9,Orrin G. Hatch,UT,01351,H000338
10,Joe Manchin III,WV,01983,M001183
11,Maria Cantwell,WA,00172,C000127
12,Sherrod Brown,OH,00136,B000944
13,Thad Cochran,MS,00213,C000567
14,Ron Johnson,WI,02086,J000293
15,Martin Heinrich,NM,01937,H001046
16,Charles E. Schumer,NY,01036,S000148
17,Rand Paul,KY,02082,P000603
18,Richard Durbin,IL,00326,D000563
19,Jerry Moran,KS,01507,M000934
20,Jon Tester,MT,01829,T000464
21,John Barrasso,WY,01881,B001261
22,Dean Heller,NV,01863,H001041
23,Patty Murray,WA,01409,M001111
24,Chuck Grassley,IA,00457,G000386
25,Christopher A. Coons,DE,01984,C001088
26,Roger F. Wicker,MS,01226,W000437
27,Mitch McConnell,KY,01395,M000355
28,Cory Gardner,CO,01998,G000562
29,Bernard Sanders,VT,01010,S000033
30,Robert Menendez,NJ,00791,M000639
31,Jeff Merkley,OR,01900,M001176
32,Edward J. Markey,MA,00735,M000133
33,Lamar Alexander,TN,01695,A000360
34,Heidi Heitkamp,ND,02174,H001069
35,Brian Schatz,HI,02173,S001194
36,Al Franken,MN,01969,F000457
37,Jeanne Shaheen,NH,01901,S001181
38,Mazie K. Hirono,HI,01844,H001042
39,Kirsten E. Gillibrand,NY,01866,G000555
40,Johnny Isakson,GA,01608,I000055
41,Roy Blunt,MO,01464,B000575
42,Richard Blumenthal,CT,02076,B001277
43,Pat Toomey,PA,02085,T000461
44,Christopher S. Murphy,CT,01837,M001169
45,Thomas R. Carper,DE,00179,C000174
46,Tammy Baldwin,WI,01558,B001230
47,Amy Klobuchar,MN,01826,K000367
48,Richard Burr,NC,00153,B001135
49,Ted Cruz,TX,02175,C001098
50,Cory A. Booker,NJ,02194,B001288
51,Marco Rubio,FL,02084,R000595
52,Bill Nelson,FL,00859,N000032
53,Jack Reed,RI,00949,R000122
54,Sheldon Whitehouse,RI,01823,W000802
55,Tim Scott,SC,02056,S001184
56,John Thune,SD,01534,T000250
57,Michael F. Bennet,CO,01965,B001267
58,Steve Daines,MT,02138,D000618
59,Harry Reid,NV,00952,R000146
60,Elizabeth Warren,MA,02182,W000817
61,Michael B. Enzi,WY,01542,E000285
62,Joe Donnelly,IN,01850,D000607
63,Deb Fischer,NE,02179,F000463
64,John McCain,AZ,00754,M000303
65,Gary C. Peters,MI,01929,P000595
66,Kelly Ayotte,NH,02075,A000368
67,Mike Lee,UT,02080,L000577
68,Debbie Stabenow,MI,01531,S000770
69,Barbara Boxer,CA,00116,B000711
70,Claire McCaskill,MO,01820,M001170
71,Robert P. Jr. Casey,PA,01828,C001070
72,Lindsey Graham,SC,00452,G000359
73,John Cornyn,TX,01692,C001056
74,Lisa Murkowski,AK,01694,M001153
75,Patrick J. Leahy,VT,01383,L000174
76,Tom Udall,NM,01567,U000039
77,Mike Crapo,ID,00250,C000880
78,Jeff Flake,AZ,01633,F000444
79,Bill Cassidy,LA,01925,C001075
80,Joni Ernst,IA,02283,E000295
81,Shelley Moore Capito,WV,01676,C001047
82,Angus S. Jr. King,ME,02185,K000383
83,Mike Rounds,SD,02288,R000605
84,Mark R. Warner,VA,01897,W000805
85,Tim Kaine,VA,02176,K000384
86,Dan Sullivan,AK,02290,S001198
87,Thom Tillis,NC,02291,T000476
88,Pat Roberts,KS,00968,R000307
89,James M. Inhofe,OK,00583,I000024
90,David Perdue,GA,02286,P000612
91,Daniel Coats,IN,00209,C000542
92,Richard C. Shelby,AL,01049,S000320
93,Barbara A. Mikulski,MD,00802,M000702
94,James Lankford,OK,02050,L000575
95,Bob Corker,TN,01825,C001071
96,Jeff Sessions,AL,01548,S001141
97,John Boozman,AR,01687,B001236
98,Ben Sasse,NE,02289,S001197
99,Tom Cotton,AR,02098,C001095
