sponsorIndex,billId,billSponsorName
0,s1-114,John Hoeven
1,s100-114,David Vitter
2,s1000-114,James E. Risch
3,s1001-114,James E. Risch
4,s1002-114,Benjamin L. Cardin
5,s1003-114,Susan M. Collins
6,s1004-114,Mark Steven Kirk
7,s1005-114,Ron Wyden
8,s1006-114,Dianne Feinstein
9,s1007-114,Rob Portman
10,s1008-114,James E. Risch
11,s1009-114,Orrin G. Hatch
12,s101-114,David Vitter
13,s1010-114,Joe Manchin III
14,s1011-114,Maria Cantwell
15,s1012-114,Sherrod Brown
16,s1013-114,Thad Cochran
17,s1014-114,Dianne Feinstein
18,s1015-114,Orrin G. Hatch
19,s1016-114,Ron Johnson
20,s1017-114,Martin Heinrich
21,s1018-114,Charles E. Schumer
22,s1019-114,Rand Paul
23,s102-114,David Vitter
24,s1020-114,David Vitter
25,s1021-114,Richard Durbin
26,s1022-114,Richard Durbin
27,s1023-114,Jerry Moran
28,s1024-114,Mark Steven Kirk
29,s1025-114,Jon Tester
30,s1026-114,John Barrasso
31,s1027-114,Mark Steven Kirk
32,s1028-114,Rob Portman
33,s1029-114,John Hoeven
34,s103-114,Dean Heller
35,s1030-114,Ron Wyden
36,s1031-114,Patty Murray
37,s1032-114,Chuck Grassley
38,s1033-114,Christopher A. Coons
39,s1034-114,Roger F. Wicker
40,s1035-114,Mitch McConnell
41,s1036-114,Cory Gardner
42,s1037-114,James E. Risch
43,s1038-114,James E. Risch
44,s1039-114,James E. Risch
45,s104-114,David Vitter
46,s1040-114,Dean Heller
47,s1041-114,Bernard Sanders
48,s1042-114,Robert Menendez
49,s1043-114,Jeff Merkley
50,s1044-114,Edward J. Markey
51,s1045-114,Roger F. Wicker
52,s1046-114,Maria Cantwell
53,s1047-114,Lamar Alexander
54,s1048-114,Lamar Alexander
55,s1049-114,Heidi Heitkamp
56,s105-114,David Vitter
57,s1050-114,Brian Schatz
58,s1051-114,Richard Durbin
59,s1052-114,Al Franken
60,s1053-114,Al Franken
61,s1054-114,Jeanne Shaheen
62,s1055-114,Al Franken
63,s1056-114,Benjamin L. Cardin
64,s1057-114,Ron Wyden
65,s1058-114,Ron Wyden
66,s1059-114,Mazie K. Hirono
67,s106-114,David Vitter
68,s1060-114,Mazie K. Hirono
69,s1061-114,Mazie K. Hirono
70,s1062-114,Mazie K. Hirono
71,s1063-114,Al Franken
72,s1064-114,Kirsten E. Gillibrand
73,s1065-114,Kirsten E. Gillibrand
74,s1066-114,Johnny Isakson
75,s1067-114,Roy Blunt
76,s1068-114,James E. Risch
77,s1069-114,Richard Blumenthal
78,s107-114,David Vitter
79,s1070-114,Richard Durbin
80,s1071-114,Pat Toomey
81,s1072-114,Christopher S. Murphy
82,s1073-114,Thomas R. Carper
83,s1074-114,Tammy Baldwin
84,s1075-114,Kirsten E. Gillibrand
85,s1076-114,Amy Klobuchar
86,s1077-114,Richard Burr
87,s1078-114,Martin Heinrich
88,s1079-114,Benjamin L. Cardin
89,s108-114,Lamar Alexander
90,s1080-114,Ted Cruz
91,s1081-114,Cory A. Booker
92,s1082-114,Marco Rubio
93,s1083-114,Bill Nelson
94,s1084-114,Jack Reed
95,s1085-114,Patty Murray
96,s1086-114,Dean Heller
97,s1087-114,Sheldon Whitehouse
98,s1088-114,Kirsten E. Gillibrand
99,s1089-114,Orrin G. Hatch
100,s109-114,Dean Heller
101,s1090-114,Cory A. Booker
102,s1091-114,Dianne Feinstein
103,s1092-114,Dianne Feinstein
104,s1093-114,Dianne Feinstein
105,s1094-114,Dianne Feinstein
106,s1095-114,Dianne Feinstein
107,s1096-114,Dianne Feinstein
108,s1097-114,Dianne Feinstein
109,s1098-114,Dianne Feinstein
110,s1099-114,Tim Scott
111,s11-114,Roy Blunt
112,s110-114,Dean Heller
113,s1100-114,John Thune
114,s1101-114,Michael F. Bennet
115,s1102-114,Jack Reed
116,s1103-114,Steve Daines
117,s1104-114,Steve Daines
118,s1105-114,Dean Heller
119,s1106-114,Rob Portman
120,s1107-114,Charles E. Schumer
121,s1108-114,Harry Reid
122,s1109-114,Elizabeth Warren
123,s111-114,Dean Heller
124,s1110-114,Michael B. Enzi
125,s1111-114,Joe Donnelly
126,s1112-114,Al Franken
127,s1113-114,David Vitter
128,s1114-114,Robert Menendez
129,s1115-114,Deb Fischer
